Date,Best,SPY,Label
2002-08-31,1039386.6878725633,1006800.8094534393,Dot-com bust
2002-09-30,1011921.2972465638,901236.0222684345,Dot-com bust
2002-10-31,1023991.02146762,975392.7411347072,Dot-com bust
2007-10-31,2357020.3964801966,1862399.3281403058,GFC
2007-11-30,2216643.566366551,1790264.1907658787,GFC
2007-12-31,2203211.0541080325,1770104.5522649733,GFC
2008-01-31,1959131.4593664838,1663081.935741873,GFC
2008-02-29,1838109.1849970876,1620103.6416426797,GFC
2008-03-31,1907560.157639713,1605615.897464442,GFC
2008-04-30,1998521.5030302813,1682143.6972239865,GFC
2008-05-31,2052090.5943331819,1707572.3758751263,GFC
2008-06-30,1808722.9368034569,1564860.2913016584,GFC
2008-07-31,1823635.036214297,1550798.4874948466,GFC
2008-08-31,1870630.590945722,1574763.8858997955,GFC
2008-09-30,1659625.257334332,1426463.4020900186,GFC
2008-10-31,1471569.5327463811,1190830.6491351777,GFC
2008-11-30,1313605.3453572786,1107940.8059597276,GFC
2008-12-31,1282481.9125397687,1118794.3976464386,GFC
2009-01-31,1215154.415084693,1026925.2415008796,GFC
2009-02-28,1086849.7438535413,916583.4067175193,GFC
2009-03-31,1156538.6639661405,992944.9217159814,GFC
2020-02-29,7029530.231964239,4590019.117937892,COVID shock
2020-03-31,6448752.910269035,4016857.28599157,COVID shock
2020-04-30,7282932.438565382,4526931.205435613,COVID shock
2022-01-31,11724017.071084928,7195375.167406999,2022 drawdown
2022-02-28,11204855.756536879,6982988.806015126,2022 drawdown
2022-03-31,11567044.514685597,7245482.479755318,2022 drawdown
2022-04-30,10516416.112826364,6609552.09439279,2022 drawdown
2022-05-31,10374935.345060322,6624472.961315475,2022 drawdown
2022-06-30,9837986.799842473,6078216.042189253,2022 drawdown
2022-07-31,10719718.607233234,6637943.501914737,2022 drawdown
2022-08-31,10307278.139376516,6367102.371645215,2022 drawdown
2022-09-30,9478155.911284156,5778489.459739329,2022 drawdown
2022-10-31,10126801.791422071,6248139.701259447,2022 drawdown
