,MAX_RETURN_NET,SPY
2002-08-31,1039386.6878725633,1006800.8094534393
2002-09-30,1011921.2972465638,901236.0222684345
2002-10-31,1023991.02146762,975392.7411347072
2002-11-30,1010076.0418205668,1035556.0169945206
2002-12-31,951607.5572868543,976974.7870490528
2003-01-31,918692.4777110176,952946.350495186
2003-02-28,892512.0672647402,940101.9589152872
2003-03-31,935195.9393915323,942113.0233609247
2003-04-30,951099.5674279657,1021827.4239931786
2003-05-31,943387.0561281692,1077860.2582114402
2003-06-30,926779.8946656242,1089341.6662541078
2003-07-31,948726.4253948738,1108979.428401104
2003-08-31,956449.822239806,1131852.464823687
2003-09-30,923969.9648031284,1119508.274221976
2003-10-31,960113.4974697501,1179432.2231522256
2003-11-30,923086.3106903028,1192313.2961371916
2003-12-31,950453.1523078055,1252301.245141317
2004-01-31,991522.1754561344,1277059.9109950073
2004-02-29,1003166.4045501332,1294390.4640659462
2004-03-31,1033805.8131485637,1277244.7288436147
2004-04-30,987236.3588518942,1253078.352250763
2004-05-31,1019388.1425514653,1274535.435135091
2004-06-30,1079242.6935357677,1298115.9353001574
2004-07-31,1042562.8716606267,1256291.9511506285
2004-08-31,1062924.1448285764,1259352.411597172
2004-09-30,1116568.795865082,1271992.7468293023
2004-10-31,1218459.1069285292,1288382.2807779424
2004-11-30,1338544.2455027604,1345737.6335568666
2004-12-31,1276057.437981015,1386272.3817492812
2005-01-31,1301657.956025777,1355191.3037879567
2005-02-28,1351018.3155028117,1383519.7372893149
2005-03-31,1291839.1822056917,1358211.2351296009
2005-04-30,1227765.5608393808,1332765.113572555
2005-05-31,1303631.9177469304,1375713.0108430735
2005-06-30,1276518.4242778341,1377796.79681554
2005-07-31,1352079.9708626484,1430513.3626767464
2005-08-31,1361695.7154673783,1417103.2309648509
2005-09-30,1412158.2454088111,1428476.0056155887
2005-10-31,1443307.964418527,1394691.405495489
2005-11-30,1572009.1668153522,1455991.6766557219
2005-12-31,1539607.6964844184,1453204.91592391
2006-01-31,1607433.8931486332,1488102.78386213
2006-02-28,1610549.5935944542,1496622.489087281
2006-03-31,1605752.1877544464,1521323.1829301661
2006-04-30,1689465.041205732,1540540.391485501
2006-05-31,1563427.4024778758,1494137.3880223148
2006-06-30,1532859.825841424,1498034.594925704
2006-07-31,1584766.8386177437,1504743.7008664755
2006-08-31,1602573.4276277756,1537581.253801206
2006-09-30,1683409.3513304673,1579097.6784774798
2006-10-31,1758637.6848167337,1628865.880213921
