Month,p05,p25,p50,p75,p95
1,925397.9007237072,980448.3555884941,1016830.5137380082,1042109.9413441843,70014002.37362912
2,898785.7385636418,983108.3724261789,1027514.1389591093,1065684.6365180314,70014002.37362912
3,897159.9487637036,988140.3520353835,1040607.4080406857,1085289.0409994568,70014002.37362912
4,880430.8448147959,989809.2806090261,1052393.00231377,1106941.8207938126,70014002.37362912
5,872100.1307126811,998062.0609574815,1063206.0499161019,1124860.471314158,70014002.37362912
6,865324.7313245623,997293.9502937899,1074535.1996764936,1146474.371194331,70014002.37362912
7,859870.9715629908,1004118.5768147578,1088571.3909291215,1164742.3153219332,70014002.37362912
8,849047.3881100987,1005744.5633007252,1100794.5820717597,1186262.0968872285,70014002.37362912
9,844002.5936669197,1015991.1683345262,1114922.2807060005,1204014.2692350287,70014002.37362912
10,835875.820043358,1017064.4507940651,1127880.7304720236,1226583.4269049037,70014002.37362912
11,835226.8365080059,1023874.1156998159,1140177.7032756223,1242449.4157553934,70014002.37362912
12,828706.7748658337,1032468.0289721051,1155642.135409443,1260758.2782012064,70014002.37362912
13,820474.3312167122,1039446.70575315,1163787.9762274157,1277811.370895869,70014002.37362912
14,817359.199787849,1041788.0214953845,1174343.1996670887,1297329.1289174426,70014002.37362912
15,812951.7147633601,1049354.8855297,1187500.5922446412,1316585.9680297435,70014002.37362912
16,815651.4826416484,1055978.9011761828,1204536.0201546475,1333030.2986103308,70014002.37362912
17,814652.3555715043,1062550.9364761133,1210602.7827634553,1352931.092000684,70014002.37362912
18,820790.7682539333,1069166.23481022,1225477.4306349861,1372604.5587185863,70014002.37362912
19,814602.463803937,1078348.7877859836,1236103.9936169987,1390836.233376473,70014002.37362912
20,810159.7400181582,1079070.537676355,1249754.2443425672,1410085.6787175932,70014002.37362912
21,819499.5003114333,1090543.4869382142,1262991.525226402,1424809.8469956596,70014002.37362912
22,819490.3618812528,1094219.749782083,1276110.283224151,1449982.0090748705,70014002.37362912
23,818934.1929403014,1101911.7360462907,1288987.0971713415,1468938.9525194573,70014002.37362912
24,815759.9966898278,1107805.669972271,1303561.151927793,1489969.9786612615,70014002.37362912
25,817314.2322515668,1116369.5885747238,1314839.424502132,1507171.921709751,70014002.37362912
26,815088.1688595405,1119394.9811456986,1326589.1918697965,1528309.9900598996,70014002.37362912
27,817488.9112710014,1125126.1136891376,1342828.4044284252,1554663.8848873377,70014002.37362912
28,815434.7004962369,1134804.3791649286,1355519.0612889521,1575708.4007728826,70014002.37362912
29,818019.542575256,1137382.989017835,1366910.3803517604,1596099.641781905,70014002.37362912
30,823036.2386837377,1146136.80843741,1383858.7317253514,1621182.1577880513,70014002.37362912
31,819100.8276848873,1152352.5621155687,1393904.5078270796,1641290.7619983885,70014002.37362912
32,821095.1785732844,1165409.9913962986,1414207.186743619,1658690.8055365845,70014002.37362912
33,819238.4917674818,1173596.3983417023,1424861.7199577629,1684509.7101574012,70014002.37362912
34,833267.6087818338,1177553.3169991565,1441403.7754563452,1709314.209800755,70014002.37362912
35,839236.1422123541,1186711.2125561633,1453705.0692967174,1727186.0854940994,70014002.37362912
36,838488.9750163966,1195420.995419035,1467882.9405846668,1750531.4852855424,70014002.37362912
37,838646.958822527,1208931.5781374432,1489289.7977598454,1772682.8593776324,70014002.37362912
38,842103.2172842425,1210658.7124196785,1501985.4786733524,1789238.0257660667,70014002.37362912
39,851706.8075666092,1227041.4975228421,1514913.9720342013,1814941.0861820774,70014002.37362912
40,843088.7377881205,1236273.557400186,1532134.8309073201,1834110.5262544104,70014002.37362912
41,848794.6279908451,1248806.8948320688,1543568.4746913828,1856133.9560669835,70014002.37362912
42,848465.4787504841,1257373.098506588,1556704.7502389138,1877944.6013838442,70014002.37362912
43,857370.5440328971,1268349.1836752316,1574123.268699082,1912520.0281179054,70014002.37362912
44,861437.6883725545,1281009.1312557939,1592133.0006983886,1925012.6067245896,70014002.37362912
45,869554.8873956137,1288678.376705039,1608285.802809305,1948304.0858171969,70014002.37362912
46,862763.9756130127,1300713.9069848994,1624624.6724779136,1970567.2473631892,70014002.37362912
47,863226.9718539285,1311399.2951030363,1640059.7532032542,1998035.0026865567,70014002.37362912
48,864451.238469803,1312336.5410732199,1656083.7935262239,2020925.958887619,70014002.37362912
49,865578.1171823394,1326066.4919575409,1671919.6816694909,2045103.7154116798,70014002.37362912
50,879325.4899103461,1337504.781527331,1686155.638056824,2068245.180101501,70014002.37362912
51,877480.6868429088,1351155.0632048,1701670.8876121128,2092333.2595878816,70014002.37362912
52,881713.0727341945,1360974.3511227004,1717524.2054075343,2117520.509637065,70014002.37362912
53,874983.6593732908,1370294.6321867215,1736812.6101933597,2143928.499771611,70014002.37362912
54,886354.5236485802,1384091.3180225159,1748309.9123363923,2166101.1088608466,70014002.37362912
55,890280.9377156064,1389177.277139525,1769865.8644456128,2196112.706751629,70014002.37362912
56,894371.0643797035,1404410.0886986633,1793894.8469283977,2218520.4826159407,70014002.37362912
57,894134.1037324126,1413063.451648014,1804851.2633593315,2249746.24939404,70014002.37362912
58,907481.8192941003,1428269.930723366,1829146.0379667666,2273764.0627206443,70014002.37362912
59,905543.105383678,1439185.9958597235,1848438.8279456054,2312309.954656079,70014002.37362912
60,908970.5058792788,1445082.1304207584,1871452.6506103768,2333594.825517659,70014002.37362912
61,917420.0545182732,1454286.335400886,1885826.6203165145,2362668.257569069,70014002.37362912
62,921794.6147782872,1470431.8043016898,1910767.152072841,2393498.5553882434,70014002.37362912
63,926160.3643515523,1481811.4122319792,1935400.154637948,2429192.4655988486,70014002.37362912
64,935325.1074554058,1493924.5463430304,1952899.2653001873,2457731.570786745,70014002.37362912
65,941837.1687997612,1506988.8746581925,1967762.004840373,2481137.1698966604,70014002.37362912
66,951719.3561415838,1516544.7024139082,1986054.695651709,2507484.0804711357,70014002.37362912
67,954393.8635540326,1532021.2359268065,2012237.495452614,2537909.1423747167,70014002.37362912
68,964791.5873786082,1547280.3901011506,2025627.7106479886,2575336.553066001,70014002.37362912
69,970134.3597921618,1551625.0760958528,2044491.2090615728,2592569.792006418,70014002.37362912
70,979598.4895204599,1560916.3519274192,2072959.7446843511,2632436.408577516,70014002.37362912
71,983611.2764861576,1568686.6708465084,2093157.8680648115,2665259.2488155426,70014002.37362912
72,980577.0192521638,1583280.9884443067,2109995.8220449984,2702336.5142954327,70014002.37362912
73,982109.3650098665,1586486.8816444974,2137330.167754397,2729145.779675913,70014002.37362912
74,994212.3276704071,1605599.1970454054,2151302.102167093,2770267.934999092,70014002.37362912
75,1014049.7052015658,1621204.3487260065,2177589.660952694,2791471.4820930567,70014002.37362912
76,1014212.7971060751,1637348.7487326802,2202654.897975681,2824688.6071188115,70014002.37362912
77,1021115.1276112311,1647123.2415651595,2219112.2320492947,2853149.8525095596,70014002.37362912
78,1037143.3804447475,1650266.6211366323,2252068.868799517,2894395.0652979943,70014002.37362912
79,1035494.2275997691,1667388.0474673817,2266725.368432909,2935862.807657022,70014002.37362912
80,1042748.4687821508,1678529.4844514895,2290603.5782569004,2952965.481676638,70014002.37362912
81,1050503.5850281704,1703557.0520063236,2323702.8218306582,3005052.2183587267,70014002.37362912
82,1056648.025387013,1724610.5636277944,2339138.8249264006,3041248.4151024353,70014002.37362912
83,1042470.4915965007,1740994.4676830515,2364195.2375169257,3066144.1486371337,70014002.37362912
84,1043932.0716379384,1742215.9626038147,2377977.8020011764,3118369.425561919,70014002.37362912
85,1053637.1489899151,1756083.4037690558,2393921.8463329757,3159275.5519507257,70014002.37362912
86,1061607.6294706499,1772574.6446640668,2416725.216322606,3186387.1004951536,70014002.37362912
87,1076154.5923552758,1786780.2630018005,2445389.0375631643,3235931.3805466313,70014002.37362912
88,1079319.3318453452,1790111.066041867,2463268.6749091437,3272792.2056795163,70014002.37362912
89,1085070.6333162114,1807445.1378003743,2490492.1376562626,3321214.4330411325,70014002.37362912
90,1100055.392728815,1821885.6076009087,2516201.0869490877,3343632.8939627344,70014002.37362912
91,1114008.5299701728,1838900.4366394337,2545733.4226732887,3393473.793864692,70014002.37362912
92,1117141.897659061,1851131.830542625,2579055.56923402,3419585.4211685527,70014002.37362912
93,1121957.7854577075,1861779.5019052639,2592900.814752308,3478003.967515694,70014002.37362912
94,1141284.1359504317,1889249.1261515103,2618172.2923011077,3509477.567443735,70014002.37362912
95,1133736.492945697,1907112.9518331774,2647800.3005921943,3552870.5042271432,70014002.37362912
96,1130896.7519961586,1916921.5684360124,2676009.3644096656,3587765.2522310033,70014002.37362912
97,1139406.8685197677,1923533.6410128442,2703879.571108705,3639808.2601734903,70014002.37362912
98,1134198.467730235,1938533.7526680701,2721628.2148613767,3684760.7685148725,70014002.37362912
99,1145341.4768706898,1971639.3835793433,2757578.0370411733,3713397.4301118283,70014002.37362912
100,1143827.1738187154,1982493.056786168,2779979.0897497786,3743955.749557473,70014002.37362912
101,1153730.892345572,1999057.824873237,2809234.366632295,3785524.869402402,70014002.37362912
102,1163283.4739072057,2020365.0830037247,2825554.417663792,3806611.580957148,70014002.37362912
103,1162607.6492213535,2035782.4419034924,2847210.5851112287,3892244.199784697,70014002.37362912
104,1178252.4366221868,2054820.9002941009,2890967.7475282885,3913323.1669963957,70014002.37362912
105,1182401.8044618408,2057649.5289965696,2916558.0975683946,3967071.2868436947,70014002.37362912
106,1202219.7070592674,2078901.3717746646,2953142.498776286,4002743.976529588,70014002.37362912
107,1202564.3088494951,2099206.978580656,2978208.21828588,4032269.2877104674,70014002.37362912
108,1217241.2620884094,2121969.052613767,3021514.5479820464,4079642.147501036,70014002.37362912
109,1229058.0289182782,2143845.031875205,3043878.1546397405,4128089.9061654327,70014002.37362912
110,1230084.7188818522,2150518.1289214627,3073416.8496876573,4177430.966613629,70014002.37362912
111,1249458.388202145,2161677.2153445976,3114534.77028454,4223902.968637135,70014002.37362912
112,1249302.509035569,2179664.635926785,3138748.8901340677,4274956.967411842,70014002.37362912
113,1263599.1948682454,2207597.1691196514,3172933.378337511,4328427.626678659,70014002.37362912
114,1280656.7999258193,2219139.4647651,3204525.3662895,4382982.193973333,70014002.37362912
115,1268531.7097276663,2238142.751916172,3252230.5812506396,4447696.142936131,70014002.37362912
116,1274094.5469609066,2256879.3678562753,3263062.7765611373,4501198.732713254,70014002.37362912
117,1269055.8101500105,2266208.737463124,3296303.648653247,4539793.0170982005,70014002.37362912
